from,to,weight,type
s01,s20,2,mint
s02,s18,4,mint
s03,s35,5,mint
s03,s18,29,mint
s03,s20,6,mint
s03,s34,2,mint
s03,s32,3,mint
s04,s20,1,mint
s05,s18,1,mint
s05,s20,1,mint
s06,s18,1,mint
s06,s34,3,mint
s07,s18,1,mint
s07,s32,2,mint
s08,s32,3,mint
s09,s18,1,mint
s10,s35,3,mint
s10,s18,11,mint
s10,s20,7,mint
s10,s34,5,mint
s10,s32,3,mint
s11,s18,1,mint
s12,s18,20,mint
s12,s20,7,mint
s13,s35,1,mint
s13,s20,1,mint
s14,s32,1,mint
s15,s32,1,mint
s16,s20,3,mint
s17,s18,4,mint
s17,s34,2,mint
s17,s20,8,mint
s17,s32,2,mint
s18,s18,7,mint
s19,s32,1,mint
s20,s18,1,mint
s20,s20,14,mint
s21,s35,6,mint
s21,s18,4139,mint
s21,s20,14,mint
s21,s34,127,mint
s21,s32,8,mint
s22,s18,1,mint
s23,s35,1,mint
s23,s18,14,mint
s23,s32,4,mint
s24,s18,1,mint
s24,s34,2,mint
s24,s32,1,mint
s25,s18,47,mint
s25,s20,4,mint
s25,s34,3,mint
s25,s32,2,mint
s26,s35,1,mint
s26,s20,3,mint
s26,s34,4,mint
s27,s20,1,mint
s27,s34,1,mint
s28,s35,2,mint
s28,s18,1,mint
s28,s20,2,mint
s29,s18,2,mint
s30,s35,5,mint
s30,s20,2,mint
s31,s35,1,mint
s31,s18,137,mint
s31,s20,2,mint
s31,s34,1,mint
s32,s35,2,mint
s32,s18,66,mint
s32,s20,7,mint
s32,s34,21,mint
s32,s32,4,mint
s33,s35,5,mint
s33,s18,1280,mint
s33,s20,7,mint
s33,s34,28,mint
s33,s32,9,mint
